Filename                                                                                                                                                      Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/Coding.swift                                                                                                   168               168     0.00%          87                87     0.00%         364               364     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/Collation.swift                                                                                                  7                 7     0.00%           2                 2     0.00%          15                15     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/CoreFunctions.swift                                                                                             80                80     0.00%          50                50     0.00%         196               196     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/CustomFunctions.swift                                                                                           62                62     0.00%          48                48     0.00%         112               112     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/DateAndTimeFunctions.swift                                                                                      20                20     0.00%          14                14     0.00%          50                50     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/Expression.swift                                                                                                21                21     0.00%          18                18     0.00%          68                68     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/Operators.swift                                                                                                206               206     0.00%         190               190     0.00%         580               580     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/Query+with.swift                                                                                                15                15     0.00%           7                 7     0.00%          72                72     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/Query.swift                                                                                                    246               246     0.00%         150               150     0.00%         757               757     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/Schema.swift                                                                                                   137               137     0.00%         101               101     0.00%         372               372     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/Setter.swift                                                                                                    72                72     0.00%          72                72     0.00%         223               223     0.00%           0                 0         -
.build/checkouts/SQLite.swift/Sources/SQLite/Typed/WindowFunctions.swift                                                                                           20                20     0.00%          14                14     0.00%          66                66     0.00%           0                 0         -
.build/checkouts/SwiftCheck/Sources/SwiftCheck/Arbitrary.swift                                                                                                    108                96    11.11%          81                69    14.81%         297               274     7.74%           0                 0         -
.build/checkouts/SwiftCheck/Sources/SwiftCheck/Cartesian.swift                                                                                                     80                80     0.00%          80                80     0.00%         320               320     0.00%           0                 0         -
.build/checkouts/SwiftCheck/Sources/SwiftCheck/Check.swift                                                                                                         44                35    20.45%          24                18    25.00%         105                77    26.67%           0                 0         -
.build/checkouts/SwiftCheck/Sources/SwiftCheck/CoArbitrary.swift                                                                                                   50                50     0.00%          33                33     0.00%         106               106     0.00%           0                 0         -
.build/checkouts/SwiftCheck/Sources/SwiftCheck/Compose.swift                                                                                                        6                 6     0.00%           6                 6     0.00%          25                25     0.00%           0                 0         -
.build/checkouts/SwiftCheck/Sources/SwiftCheck/Gen.swift                                                                                                          118                92    22.03%          91                65    28.57%         403               282    30.02%           0                 0         -
.build/checkouts/SwiftCheck/Sources/SwiftCheck/Lattice.swift                                                                                                       10                10     0.00%          10                10     0.00%          30                30     0.00%           0                 0         -
.build/checkouts/SwiftCheck/Sources/SwiftCheck/Modifiers.swift                                                                                                    127               127     0.00%         109               109     0.00%         419               419     0.00%           0                 0         -
.build/checkouts/SwiftCheck/Sources/SwiftCheck/Property.swift                                                                                                     175               149    14.86%         103                80    22.33%         811               665    18.00%           0                 0         -
.build/checkouts/SwiftCheck/Sources/SwiftCheck/Random.swift                                                                                                        77                29    62.34%          35                16    54.29%         268                82    69.40%           0                 0         -
.build/checkouts/SwiftCheck/Sources/SwiftCheck/Rose.swift                                                                                                          42                25    40.48%          24                15    37.50%          96                55    42.71%           0                 0         -
.build/checkouts/SwiftCheck/Sources/SwiftCheck/State.swift                                                                                                          1                 0   100.00%           1                 0   100.00%          19                 0   100.00%           0                 0         -
.build/checkouts/SwiftCheck/Sources/SwiftCheck/Test.swift                                                                                                         276               184    33.33%         130                79    39.23%         750               459    38.80%           0                 0         -
.build/checkouts/SwiftCheck/Sources/SwiftCheck/Testable.swift                                                                                                      10                 6    40.00%          10                 6    40.00%          25                13    48.00%           0                 0         -
.build/checkouts/SwiftCheck/Sources/SwiftCheck/WitnessedArbitrary.swift                                                                                            72                72     0.00%          56                56     0.00%         183               183     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncAdjacentPairsSequence.swift                                                                   12                12     0.00%           5                 5     0.00%          24                24     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncBufferedByteIterator.swift                                                                    23                23     0.00%           9                 9     0.00%          54                54     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncChain2Sequence.swift                                                                          11                11     0.00%           5                 5     0.00%          28                28     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncChain3Sequence.swift                                                                          15                15     0.00%           5                 5     0.00%          36                36     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncChunkedByGroupSequence.swift                                                                  18                18     0.00%           6                 6     0.00%          43                43     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncChunkedOnProjectionSequence.swift                                                             19                19     0.00%           6                 6     0.00%          45                45     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncChunksOfCountOrSignalSequence.swift                                                           33                33     0.00%          16                16     0.00%          77                77     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncChunksOfCountSequence.swift                                                                   19                19     0.00%           7                 7     0.00%          39                39     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncCompactedSequence.swift                                                                       10                10     0.00%           5                 5     0.00%          19                19     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncExclusiveReductionsSequence.swift                                                             12                12     0.00%           7                 7     0.00%          35                35     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncInclusiveReductionsSequence.swift                                                             11                11     0.00%           5                 5     0.00%          23                23     0.00%           0                 0         -
.build/checkouts/swift-async-algorithms/Sources/AsyncAlgorithms/AsyncJoinedBySeparatorSequence.swift                                                               43                43     0.00%           9                 9     0.00%          82                82     0.00%           0                 0         -
